Player,Cluster,tSNE_1,tSNE_2
Derek Cornelius,1,14.0127125,18.951591
Maxwel Cornet,1,2.8947139,34.56388
Maxwel Cornet,1,-36.69816,-14.692157
Pierre Cornud,1,16.871939,6.508753
Ángel Correa,0,47.156574,10.416843
Joaquín Correa,1,-9.748894,14.645254
Thierry Correia,1,10.498479,17.91469
Alberto costa,1,30.565443,5.5058036
Coba da Costa,1,-5.723998,-12.267225
Danny da Costa,0,45.994373,9.84398
David Costa,1,-6.179672,6.6848235
Logan Costa,1,-34.878242,-6.5255356
Logan Costa,1,-29.947311,14.878147
Samu Costa,1,-2.323768,0.6586167
Grégoire Coudert,1,-48.71381,-6.2849064
Vladimír Coufal,0,40.065994,9.449771
