L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,Cluster,Cluster_KMeans,Cluster_Agglom,Cluster_GMM,GMM_Confidence,Recon_Error,Player
-0.55248123,-0.75197226,-0.5594243,1.5155638,0.6408069,-1.8565605,-0.54546314,0.8354956,-0.23566782,0.6108149,0.75742495,0.39051104,1,1,1,1,1.0,0.0466493,Oliver Abildgaard
0.016316965,-0.03524737,-0.105424725,-0.20762812,-0.8253246,-0.09622542,0.8388213,0.33482867,-0.31065917,-0.18123575,0.27044103,-0.62091076,0,0,2,0,1.0,0.15865625,Matthis Abline
-0.08176622,-0.5052365,-0.6341574,1.2052425,0.54651093,-1.3514881,-0.32229862,0.11666308,-0.024752244,-0.053876728,0.108921856,0.5471883,3,3,3,3,0.99999905,0.07366316,Abner
-0.9912531,-0.5545133,0.1901491,-0.56701636,-0.2336015,0.44142544,0.7134733,-0.622419,0.3829037,0.070148446,-0.45397082,0.05244456,0,0,4,0,0.9931211,0.055014342,Zakaria Aboukhlal
-0.38984632,-0.1371494,-0.75005645,0.8458865,0.3533955,-1.1035473,-1.0195311,1.1157706,-0.6523843,0.67011184,0.5063995,0.6713064,1,3,1,1,1.0,0.0819942,Abdel Abqar
-0.3810886,-0.05233857,-0.5537021,0.50576013,0.07124922,-0.22938107,-0.41156057,0.67388326,-0.17031801,-0.018796254,-0.30437225,0.65648615,3,3,3,3,0.8213719,0.043458216,Tammy Abraham
-0.48296875,-0.24626793,-0.4901569,0.5471062,0.26659122,-0.34643564,-0.38373896,0.48533246,-0.00082448125,-0.20984486,-0.5030507,0.7840893,3,3,3,3,0.99996567,0.04264664,Tammy Abraham
-0.23146075,-0.27781922,-0.09584778,-0.3683654,-0.08904669,-0.03126715,-0.18899913,0.3260281,-0.5802692,0.25226003,-0.52236354,0.11364589,4,4,4,2,0.9947676,0.12986371,Federico Accornero
-0.4337527,-0.40665343,-0.10383945,-0.063071445,-0.030192439,-0.09499052,0.2693149,0.091479935,0.081903264,-0.31985068,-0.8066995,0.42552862,4,4,4,4,0.99999815,0.026442686,Francesco Acerbi
-0.407636,0.039220363,-0.46884137,0.514616,0.2174293,-0.25245574,-0.4812293,0.5463529,-0.13247208,-0.011486571,-0.1423295,0.6630029,3,3,3,3,0.99729335,0.053062983,Joshua Acheampong
-0.8182815,-0.14099628,0.20754123,-0.59216607,0.0889505,0.52546734,0.6188416,-0.67670923,0.4864959,-0.063707285,-0.44935477,0.0766915,0,0,4,0,0.9999886,0.051355265,Akor Adams
-0.6388361,-0.15797079,0.21078968,-0.5340809,0.039088074,0.48158538,0.520452,-0.4436523,0.20328708,0.02272737,-0.5161488,0.14642565,4,4,4,0,0.9971046,0.0428502,Akor Adams
-0.19773398,0.35133862,0.2339657,-0.46584606,-0.41032627,0.58367175,0.3701022,0.014378302,0.09084524,0.48136896,0.16899171,-0.17875594,0,0,2,0,0.7249881,0.07089078,Che Adams
-0.4161693,-0.40158924,-0.48262042,0.027576417,-0.4876797,-0.1341151,0.28584248,0.43375614,-0.36260098,-0.10178025,-0.2572,0.024313875,4,4,4,4,0.9999623,0.102723464,Tyler Adams
-0.95224255,-0.56198347,0.2650213,-0.41443706,-0.774729,0.12521096,0.9005948,-0.35406026,0.31860048,0.15714614,-0.12335305,-0.24415737,0,0,0,0,1.0,0.07281019,Junior Adamu
-0.37313747,-0.14842306,-0.30248302,-0.13504918,-0.30223367,0.20811193,0.1077102,0.37785015,-0.35762858,-0.10888602,-0.3485428,0.25250006,4,4,4,4,0.99233615,0.026646893,Tosin Adarabioyo
-0.30345982,-0.1193099,0.17183404,-0.033737957,-0.40269607,-0.0995148,0.5724553,0.12607412,0.069971696,-0.10271066,-0.16324657,-0.19334859,0,4,2,0,0.9998899,0.03795702,Martin Adeline
-0.90632975,-0.18056345,0.10902415,-0.56503046,0.47356126,0.7110703,0.5978749,-0.6263776,0.50315076,-0.18498695,-0.83131564,1.0074579,4,4,4,0,1.0,0.044201855,Karim Adeyemi
-0.2790744,0.22115609,-0.24804232,-0.44899398,-0.8126304,0.7458285,0.5600385,0.2533099,-0.2650807,0.2563042,0.47284397,-0.16975223,2,0,2,2,0.9999427,0.112194374,Simon Adingra
-0.551247,0.1346858,-0.7538886,-0.16371821,-1.2997909,0.3270625,0.014158577,1.2492626,-0.74993056,0.9494145,1.6110061,-0.21203199,2,2,2,2,1.0,0.15692773,Amine Adli
-0.3874,-0.18895891,-0.20695269,-0.108925715,-0.12878911,-0.0065713376,0.32922047,0.10762757,-0.021703586,-0.43122923,-0.51793325,0.18418819,4,4,4,4,0.999958,0.0270047,Yacine Adli
-0.5017232,-0.73944163,-0.17306045,1.662552,0.735226,-2.1843941,-0.5271968,0.64963526,-0.14464685,1.3106093,1.3787119,0.38494,1,1,1,1,1.0,0.09565516,Adrián
-1.6162143,-0.39910218,0.36074436,-1.0974381,-0.7161393,1.0929967,0.83937573,-0.437991,0.7400837,1.2437434,-0.06706775,0.7105261,0,0,0,0,1.0,0.10659486,Adryelson
-0.7837054,-0.051578984,0.026931286,-0.44580543,0.60423374,0.62556154,0.43152833,-0.5696912,0.5039448,-0.20212542,-0.75388896,0.9692793,4,4,4,0,1.0,0.046705104,Vasilije Adžić
-0.97503704,-0.27572015,0.14436701,-0.62661564,0.27259636,0.7180453,0.65858805,-0.5192029,0.4407996,-0.015634883,-0.7950419,0.968381,4,4,4,0,1.0,0.063757434,Michel Aebischer
-0.10144577,-0.38185117,-0.64826035,0.34120363,0.33987722,-0.35005736,-0.36236924,0.30175647,-0.19560765,-0.32226175,-0.94928885,0.7631111,3,3,3,3,0.9866404,0.055959232,Oladapo Afolayan
